# Glyph list created by Arkady Benediktov
# Some extra glyph names that were encountered
# ============================================== Ligatures from PTSerifPro
f_f;FB00
f_i;FB01
f_l;FB02
f_f_i;FB03
f_f_l;FB04
# ============================================== Some more
# 'hyphenminus' is, for some reason, not in (Adobe's) glyphlist.txt, there's only 'hyphen'
hyphenminus;002D
hyphen.alt;00AD
# A weird glyph name from TimesET, encodes cyrillic 'e'
yright;0435
# Same as the 'apple' glyph name
applelogo;F8FF
# A dash in the Newton font
FL107;2014
# Accent; this is probably same as the so-called acute accent
Accent;0301
accent;0301
nobreakspace;00A0
guillemotleft.cyr;00AB
guillemotright.cyr;00BB
emdash.cyr;2014
mapstochar;22A6
trianglert;25B6
triangleopenrt;25B7
visiblespace;2423
SS;1E9E
squaremultiply;22a0
nequal;2260
simequal;2245
iintegdisplay;222C
tildenosp;0303
midhorizellipsis;22ef
vertellipsis;22ee
arrowleftnosp;20d6
harpoonupleft;21bf
squareplus;229E
arrowbarright;21A6
# # ============================================== Numbers
# 0;0030
# 1;0031
# 2;0032
# 3;0033
# 4;0034
# 5;0035
# 6;0036
# 7;0037
# 8;0038
# 9;0039
# # ============================================== NewtonSymbol
Narrowboth;2194
Nellipsis;2026
copyrightsans;00A9
# ============================================== MT-Extra
parallelto;2225
ringoperator;2218
combarrowextender;23AF
arrowrightnosp;2192
lambdabar;019b
dotnosp;0307
dncurlybracketmid;23DF
harpoonrightnosp;20D1
# ============================================== EuclidExtra
planckover2pi;210F
planckover2pi1;210F
arrowpairrightleft;21C4
# ============================================== MSAM
squaresolid;25A0
trianglesolid;25B2
equaldotrightleft;2253
anticlockwise;27F2
clockwise;27F3
defines;225c
# ============================================== CharterITC
v.alt01;0076
w.alt01;0077
v.var;0076
i.othershort;0069
a.short;0061
b.short;0062
c.short;0063
d.short;0064
e.short;0065
f.short;0066
g.short;0067
h.short;0068
i.short;0069
j.short;006A
k.short;006B
l.short;006C
m.short;006D
n.short;006E
o.short;006F
p.short;0070
q.short;0071
r.short;0072
s.short;0073
t.short;0074
u.short;0075
v.short;0076
w.short;0077
x.short;0078
y.short;0079
z.short;007A
# ============================================== (WP) MathA font
mat1;002B
mat3;002D
mat4;2296
mat5;00B1
mat6;2213
mat8;00D7
mat10;00B0
mat14;2228
mat15;2227
mat18;222A
mat19;2229
mat24;222B
mat25;222E
mat28;007C
mat29;2225
mat32;003D
mat34;2261
mat35;2248
mat36;223C
mat39;003E
mat40;003C
mat41;2265
mat42;2264
mat45;22A5
mat53;25B3
mat61;21D2
mat70;2192
mat78;21A6
mat83;2798
mat84;27E9
mat85;221E
mat87;2193
mat91;25B3
mat94;2282
mat95;2283
mat96;2286
mat97;2287
mat100;2208
mat103;227A
mat105;2115
mat106;211A
mat107;2102
mat108;211D
mat109;2124
mat119;221A
mat122;005B
mat123;005D
mat124;0028
mat125;0029
mat126;007B
mat127;007D
mat129;221A
mat157;2295
mat160;25CB
mat171;2211
mat172;220F
mat211;1D7D9
mat223;221A
