# Unicode characters and corresponding LaTeX math mode commands
# *************************************************************
#
# :Copyright: © 2011 Günter Milde
# :Date:      Last revised 2011-11-08
# :Licence:   This work may be distributed and/or modified under the
#             conditions of the `LaTeX Project Public License`_,
#             either version 1.3 of this license or (at your option)
#             any later version.
#
# .. _LaTeX Project Public License: http://www.latex-project.org/lppl.txt
#
# This is a mapping of mathematical Unicode characters to corresponding
# (La)TeX commands.
#
# While the contents of this file represent the best information
# available to the author as of the date referenced above, it
# contains omissions and maybe errors. It is likely that the
# information in this file will change from time to time.
#
# The character encoding of the file is UTF-8.
#
# Each data record consists of 8 fields. Fields are delimited by “
# Spaces adjacent to the delimiter are not significant. The number and
# type of fields in this file may change in future versions.
#
# 1. code point (Unicode character number)
#
#    The code point field is unique.
#
# 2. literal character (UTF-8 encoded)
#
# 3. (La)TeX _`command`
#
#    Preferred representation of the character in TeX.
#    Alternative commands are listed in the comments_ field.
#
# 4. command used by the `unicode-math`_ package
#
#    .. _unicode-math:
#       http://mirror.ctan.org/help/Catalogue/entries/unicode-math.html
#
# 5. Unicode math character class (after MathClassEx_).
#
#    .. _MathClassEx:
#       http://www.unicode.org/Public/math/revision-11/MathClassEx-11.txt
#
#    The class can be one of:
#
#    :N: Normal- includes all digits and symbols requiring only one form
#    :A: Alphabetic
#    :B: Binary
#    :C: Closing – usually paired with opening delimiter
#    :D: Diacritic
#    :F: Fence - unpaired delimiter (often used as opening or closing)
#    :G: Glyph_Part- piece of large operator
#    :L: Large -n-ary or Large operator, often takes limits
#    :O: Opening – usually paired with closing delimiter
#    :P: Punctuation
#    :R: Relation- includes arrows
#    :S: Space
#    :U: Unary – operators that are only unary
#    :V: Vary – operators that can be unary or binary depending on context
#    :X: Special –characters not covered by other classes
#
#    C, O, and F operators are stretchy. In addition some binary
#    operators, such as 002F are stretchy as noted in the descriptive
#    comments. The classes are also useful in determining extra spacing
#    around the operators as discussed in UTR#25.
#
# 6. TeX math category (after unimath-symbols_)
#
#    .. _unimath-symbols:
#       http://mirror.ctan.org/macros/latex/contrib/unicode-math/unimath-symbols.pdf
#
# 7. requirements and conflicts
#
#    Space delimited list of LaTeX packages or features [1]_ providing
#    the LaTeX command_ or conflicting with it.
#
#    Packages/features preceded by a HYPHEN-MINUS (-) use the command
#    for a different symbol.
#
#    To save space, packages providing/modifying (almost) all commands
#    of a feature or another package are not listed here but in the
#    ``packages.txt`` file.
#
#    .. [1] A feature can be a set of commands common to several packages,
#    	    (e.g. ``mathbb`` or ``slantedGreek``) or a constraint (e.g.
#	    ``literal`` mapping plain characters to upright face).
#
# 8. descriptive _`comments`
#
#    The descriptive comments provide more information about the
#    character, or its specific appearance or use.
#
#    Some descriptions contain references to related commands,
#    marked by a character describing the relation
#
#    :=:  equals  (alias commands),
#    :#:  approx  (similar, different character with same glyph),
#    :x:  not     (false friends and name clashes),
#    :t:  text    (text mode command),
#
#    followed by requirements in parantheses, and
#    delimited by commas.
#
#    Comments in UPPERCASE are Unicode character names
#
unicode-math;# no.
exclam;0021
octothorpe;0023
mathdollar;0024
percent;0025
ampersand;0026
lparen;0028
rparen;0029
plus;002B
comma;002C
period;002E
mathslash;002F
mathcolon;003A
semicolon;003B
less;003C
equal;003D
greater;003E
question;003F
atsign;0040
lbrack;005B
backslash;005C
rbrack;005D
lbrace;007B
vert;007C
rbrace;007D
sterling;00A3
;00A4
yen;00A5
;00A6
;00A7
;00A8
neg;00AC
;00AE
;00AF
;00B0
pm;00B1
;00B2
;00B3
;00B4
;00B5
;00B6
cdotp;00B7
;00B9
;00BC
;00BD
;00BE
;00BF
times;00D7
matheth;00F0
div;00F7
;0131
Zbar;01B5
;0237
;02C6
;02C7
;02D8
;02D9
;02DA
;02DC
grave;0300
acute;0301
hat;0302
tilde;0303
bar;0304
overbar;0305
breve;0306
dot;0307
ddot;0308
ovhook;0309
ocirc;030A
check;030C
candra;0310
;0311
oturnedcomma;0312
ocommatopright;0315
droang;031A
;0323
;032C
;032D
;032E
;032F
wideutilde;0330
underbar;0331
;0332
;0333
not;0338
;033A
;033F
;0346
upAlpha;0391
upBeta;0392
upGamma;0393
upDelta;0394
upEpsilon;0395
upZeta;0396
upEta;0397
upTheta;0398
upIota;0399
upKappa;039A
upLambda;039B
upMu;039C
upNu;039D
upXi;039E
upOmicron;039F
upPi;03A0
upRho;03A1
upSigma;03A3
upTau;03A4
upUpsilon;03A5
upPhi;03A6
upChi;03A7
upPsi;03A8
upOmega;03A9
upalpha;03B1
upbeta;03B2
upgamma;03B3
updelta;03B4
upepsilon;03B5
upzeta;03B6
upeta;03B7
uptheta;03B8
upiota;03B9
upkappa;03BA
uplambda;03BB
upmu;03BC
upnu;03BD
upxi;03BE
upomicron;03BF
uppi;03C0
uprho;03C1
upvarsigma;03C2
upsigma;03C3
uptau;03C4
upupsilon;03C5
upvarphi;03C6
upchi;03C7
uppsi;03C8
upomega;03C9
upvarbeta;03D0
upvartheta;03D1
upUpsilon;03D2
upphi;03D5
upvarpi;03D6
upoldKoppa;03D8
upoldkoppa;03D9
upStigma;03DA
upstigma;03DB
upDigamma;03DC
updigamma;03DD
upKoppa;03DE
upkoppa;03DF
upSampi;03E0
upsampi;03E1
upvarkappa;03F0
upvarrho;03F1
upvarTheta;03F4
upvarepsilon;03F5
upbackepsilon;03F6
;0428
;2000
;2001
;2002
;2003
;2004
;2005
;2006
;2007
;2009
;200A
;200B
;2010
;2012
;2013
;2014
horizbar;2015
Vert;2016
twolowline;2017
dagger;2020
ddagger;2021
smblkcircle;2022
enleadertwodots;2025
unicodeellipsis;2026
prime;2032
dprime;2033
trprime;2034
backprime;2035
backdprime;2036
backtrprime;2037
caretinsert;2038
;203B
Exclam;203C
tieconcat;2040
hyphenbullet;2043
fracslash;2044
Question;2047
;204E
;204F
closure;2050
;2051
;2052
qprime;2057
;205F
;2061
;2062
;2063
;2064
;207A
;207B
;207C
;207D
;207E
;208A
;208B
;208C
;208D
;208E
euro;20AC
leftharpoonaccent;20D0
rightharpoonaccent;20D1
vertoverlay;20D2
;20D3
;20D4
overleftarrow;20D6
vec;20D7
;20D8
;20D9
;20DA
dddot;20DB
ddddot;20DC
enclosecircle;20DD
enclosesquare;20DE
enclosediamond;20DF
overleftrightarrow;20E1
enclosetriangle;20E4
;20E5
;20E6
annuity;20E7
threeunderdot;20E8
widebridgeabove;20E9
;20EA
;20EB
underrightharpoondown;20EC
underleftharpoondown;20ED
underleftarrow;20EE
underrightarrow;20EF
asteraccent;20F0
BbbC;2102
Eulerconst;2107
mscrg;210A
mscrH;210B
mfrakH;210C
BbbH;210D
Planckconst;210E
hslash;210F
mscrI;2110
Im;2111
mscrL;2112
ell;2113
BbbN;2115
wp;2118
BbbP;2119
BbbQ;211A
mscrR;211B
Re;211C
BbbR;211D
BbbZ;2124
;2126
mho;2127
mfrakZ;2128
turnediota;2129
Angstrom;212B
mscrB;212C
mfrakC;212D
mscre;212F
mscrE;2130
mscrF;2131
Finv;2132
mscrM;2133
mscro;2134
aleph;2135
beth;2136
gimel;2137
daleth;2138
Bbbpi;213C
Bbbgamma;213D
BbbGamma;213E
BbbPi;213F
Bbbsum;2140
Game;2141
sansLturned;2142
sansLmirrored;2143
Yup;2144
mitBbbD;2145
mitBbbd;2146
mitBbbe;2147
mitBbbi;2148
mitBbbj;2149
PropertyLine;214A
upand;214B
leftarrow;2190
uparrow;2191
rightarrow;2192
downarrow;2193
leftrightarrow;2194
updownarrow;2195
nwarrow;2196
nearrow;2197
searrow;2198
swarrow;2199
nleftarrow;219A
nrightarrow;219B
leftwavearrow;219C
rightwavearrow;219D
twoheadleftarrow;219E
twoheaduparrow;219F
twoheadrightarrow;21A0
twoheaddownarrow;21A1
leftarrowtail;21A2
rightarrowtail;21A3
mapsfrom;21A4
mapsup;21A5
mapsto;21A6
mapsdown;21A7
updownarrowbar;21A8
hookleftarrow;21A9
hookrightarrow;21AA
looparrowleft;21AB
looparrowright;21AC
leftrightsquigarrow;21AD
nleftrightarrow;21AE
downzigzagarrow;21AF
Lsh;21B0
Rsh;21B1
Ldsh;21B2
Rdsh;21B3
linefeed;21B4
carriagereturn;21B5
curvearrowleft;21B6
curvearrowright;21B7
barovernorthwestarrow;21B8
barleftarrowrightarrowba;21B9
acwopencirclearrow;21BA
cwopencirclearrow;21BB
leftharpoonup;21BC
leftharpoondown;21BD
upharpoonright;21BE
upharpoonleft;21BF
rightharpoonup;21C0
rightharpoondown;21C1
