# Unicode characters and corresponding LaTeX math mode commands
# *************************************************************
#
# :Copyright: © 2011 Günter Milde
# :Date:      Last revised 2011-11-08
# :Licence:   This work may be distributed and/or modified under the
#             conditions of the `LaTeX Project Public License`_,
#             either version 1.3 of this license or (at your option)
#             any later version.
#
# .. _LaTeX Project Public License: http://www.latex-project.org/lppl.txt
#
# This is a mapping of mathematical Unicode characters to corresponding
# (La)TeX commands.
#
# While the contents of this file represent the best information
# available to the author as of the date referenced above, it
# contains omissions and maybe errors. It is likely that the
# information in this file will change from time to time.
#
# The character encoding of the file is UTF-8.
#
# Each data record consists of 8 fields. Fields are delimited by “
# Spaces adjacent to the delimiter are not significant. The number and
# type of fields in this file may change in future versions.
#
# 1. code point (Unicode character number)
#
#    The code point field is unique.
#
# 2. literal character (UTF-8 encoded)
#
# 3. (La)TeX _`command`
#
#    Preferred representation of the character in TeX.
#    Alternative commands are listed in the comments_ field.
#
# 4. command used by the `unicode-math`_ package
#
#    .. _unicode-math:
#       http://mirror.ctan.org/help/Catalogue/entries/unicode-math.html
#
# 5. Unicode math character class (after MathClassEx_).
#
#    .. _MathClassEx:
#       http://www.unicode.org/Public/math/revision-11/MathClassEx-11.txt
#
#    The class can be one of:
#
#    :N: Normal- includes all digits and symbols requiring only one form
#    :A: Alphabetic
#    :B: Binary
#    :C: Closing – usually paired with opening delimiter
#    :D: Diacritic
#    :F: Fence - unpaired delimiter (often used as opening or closing)
#    :G: Glyph_Part- piece of large operator
#    :L: Large -n-ary or Large operator, often takes limits
#    :O: Opening – usually paired with closing delimiter
#    :P: Punctuation
#    :R: Relation- includes arrows
#    :S: Space
#    :U: Unary – operators that are only unary
#    :V: Vary – operators that can be unary or binary depending on context
#    :X: Special –characters not covered by other classes
#
#    C, O, and F operators are stretchy. In addition some binary
#    operators, such as 002F are stretchy as noted in the descriptive
#    comments. The classes are also useful in determining extra spacing
#    around the operators as discussed in UTR#25.
#
# 6. TeX math category (after unimath-symbols_)
#
#    .. _unimath-symbols:
#       http://mirror.ctan.org/macros/latex/contrib/unicode-math/unimath-symbols.pdf
#
# 7. requirements and conflicts
#
#    Space delimited list of LaTeX packages or features [1]_ providing
#    the LaTeX command_ or conflicting with it.
#
#    Packages/features preceded by a HYPHEN-MINUS (-) use the command
#    for a different symbol.
#
#    To save space, packages providing/modifying (almost) all commands
#    of a feature or another package are not listed here but in the
#    ``packages.txt`` file.
#
#    .. [1] A feature can be a set of commands common to several packages,
#    	    (e.g. ``mathbb`` or ``slantedGreek``) or a constraint (e.g.
#	    ``literal`` mapping plain characters to upright face).
#
# 8. descriptive _`comments`
#
#    The descriptive comments provide more information about the
#    character, or its specific appearance or use.
#
#    Some descriptions contain references to related commands,
#    marked by a character describing the relation
#
#    :=:  equals  (alias commands),
#    :#:  approx  (similar, different character with same glyph),
#    :x:  not     (false friends and name clashes),
#    :t:  text    (text mode command),
#
#    followed by requirements in parantheses, and
#    delimited by commas.
#
#    Comments in UPPERCASE are Unicode character names
#
unicode-math;# no.
exclam;00021
octothorpe;00023
mathdollar;00024
percent;00025
ampersand;00026
lparen;00028
rparen;00029
;0002A
plus;0002B
comma;0002C
;0002D
period;0002E
mathslash;0002F
;00030
;00031
;00032
;00033
;00034
;00035
;00036
;00037
;00038
;00039
mathcolon;0003A
semicolon;0003B
less;0003C
equal;0003D
greater;0003E
question;0003F
atsign;00040
;00041
;00042
;00043
;00044
;00045
;00046
;00047
;00048
;00049
;0004A
;0004B
;0004C
;0004D
;0004E
;0004F
;00050
;00051
;00052
;00053
;00054
;00055
;00056
;00057
;00058
;00059
;0005A
lbrack;0005B
backslash;0005C
rbrack;0005D
;0005E
;0005F
;00060
;00061
;00062
;00063
;00064
;00065
;00066
;00067
;00068
;00069
;0006A
;0006B
;0006C
;0006D
;0006E
;0006F
;00070
;00071
;00072
;00073
;00074
;00075
;00076
;00077
;00078
;00079
;0007A
lbrace;0007B
vert;0007C
rbrace;0007D
;0007E
;000A0
;000A1
;000A2
sterling;000A3
;000A4
yen;000A5
;000A6
;000A7
;000A8
neg;000AC
;000AE
;000AF
;000B0
pm;000B1
;000B2
;000B3
;000B4
;000B5
;000B6
cdotp;000B7
;000B9
;000BC
;000BD
;000BE
;000BF
times;000D7
matheth;000F0
div;000F7
;00131
Zbar;001B5
;00237
;002C6
;002C7
;002D8
;002D9
;002DA
;002DC
grave;00300
acute;00301
hat;00302
tilde;00303
bar;00304
overbar;00305
breve;00306
dot;00307
ddot;00308
ovhook;00309
ocirc;0030A
check;0030C
candra;00310
;00311
oturnedcomma;00312
ocommatopright;00315
droang;0031A
;00323
;0032C
;0032D
;0032E
;0032F
wideutilde;00330
underbar;00331
;00332
;00333
not;00338
;0033A
;0033F
;00346
upAlpha;00391
upBeta;00392
upGamma;00393
upDelta;00394
upEpsilon;00395
upZeta;00396
upEta;00397
upTheta;00398
upIota;00399
upKappa;0039A
upLambda;0039B
upMu;0039C
upNu;0039D
upXi;0039E
upOmicron;0039F
upPi;003A0
upRho;003A1
upSigma;003A3
upTau;003A4
upUpsilon;003A5
upPhi;003A6
upChi;003A7
upPsi;003A8
upOmega;003A9
upalpha;003B1
upbeta;003B2
upgamma;003B3
updelta;003B4
upepsilon;003B5
upzeta;003B6
upeta;003B7
uptheta;003B8
upiota;003B9
upkappa;003BA
uplambda;003BB
upmu;003BC
upnu;003BD
upxi;003BE
upomicron;003BF
uppi;003C0
uprho;003C1
upvarsigma;003C2
upsigma;003C3
uptau;003C4
upupsilon;003C5
upvarphi;003C6
upchi;003C7
uppsi;003C8
upomega;003C9
upvarbeta;003D0
upvartheta;003D1
upUpsilon;003D2
upphi;003D5
upvarpi;003D6
upoldKoppa;003D8
upoldkoppa;003D9
upStigma;003DA
upstigma;003DB
upDigamma;003DC
updigamma;003DD
upKoppa;003DE
upkoppa;003DF
upSampi;003E0
upsampi;003E1
upvarkappa;003F0
upvarrho;003F1
upvarTheta;003F4
upvarepsilon;003F5
upbackepsilon;003F6
;00428
;02000
;02001
;02002
;02003
;02004
;02005
;02006
;02007
;02009
;0200A
;0200B
;02010
;02012
;02013
;02014
horizbar;02015
Vert;02016
twolowline;02017
dagger;02020
ddagger;02021
smblkcircle;02022
enleadertwodots;02025
unicodeellipsis;02026
prime;02032
dprime;02033
trprime;02034
backprime;02035
backdprime;02036
backtrprime;02037
caretinsert;02038
;0203B
Exclam;0203C
tieconcat;02040
hyphenbullet;02043
fracslash;02044
Question;02047
;0204E
;0204F
closure;02050
;02051
;02052
qprime;02057
;0205F
;02061
;02062
;02063
;02064
;0207A
;0207B
;0207C
;0207D
;0207E
;0208A
;0208B
;0208C
;0208D
;0208E
euro;020AC
leftharpoonaccent;020D0
rightharpoonaccent;020D1
vertoverlay;020D2
;020D3
;020D4
overleftarrow;020D6
vec;020D7
;020D8
;020D9
;020DA
dddot;020DB
ddddot;020DC
enclosecircle;020DD
enclosesquare;020DE
enclosediamond;020DF
overleftrightarrow;020E1
enclosetriangle;020E4
;020E5
;020E6
annuity;020E7
threeunderdot;020E8
widebridgeabove;020E9
;020EA
;020EB
underrightharpoondown;020EC
underleftharpoondown;020ED
underleftarrow;020EE
underrightarrow;020EF
asteraccent;020F0
BbbC;02102
Eulerconst;02107
mscrg;0210A
mscrH;0210B
mfrakH;0210C
BbbH;0210D
Planckconst;0210E
hslash;0210F
mscrI;02110
Im;02111
mscrL;02112
ell;02113
BbbN;02115
wp;02118
BbbP;02119
BbbQ;0211A
mscrR;0211B
Re;0211C
BbbR;0211D
BbbZ;02124
;02126
mho;02127
mfrakZ;02128
turnediota;02129
Angstrom;0212B
